Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
producto que contiene exactamente clorhidrato de desipramina 50 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	375530008	fármaco de uso clínico	0	0	[321843006, 374626009, 376689003, 375529003, 321747004, 376658002, 371142000, 375370000, 321842001, 375532000]	0	1.0	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	11	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 762949000, 732946004, 766939001, 732943007]	321843006	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 733000006, 66076007, 421701006, 385059007, 385192004, 385084005, 447079001], [421026006, 764780001, 421366001, 385085006, 420692007, 764774009, 385060002, 385173001, 385024007, 385061003], [732774003, 278495003, 278496002, 732515006, 725124009, 420528006, 264707009, 337570006, 264679004, 337566003], [778938000, 779771003, 778810007, 779542002, 780718004, 780319009, 779067007, 780685002, 778314006, 778278001], [385055001, 732936001, 761877007, 733000006, 66076007, 421701006, 385059007, 385192004, 385084005, 447079001], [38112003, 260320001, 784840009, 277733009, 121348009, 784870004, 784871000, 784872007, 377424007, 785208005], [258684004, 408169001, 414718005, 258916009, 258797006, 258685003, 258798001, 396163008, 258834009, 258801007], [26120001, 10424009, 387027004, 3378009, 46950002, 85037008, 58956008, 29666006, 396037001, 48384000], [38112003, 260320001, 784840009, 277733009, 121348009, 784870004, 784871000, 784872007, 377424007, 785208005], [773864007, 773863001, 789691007, 789696002, 773871002, 773883000, 773876007, 773881003, 773875006, 773837006], [26120001, 10424009, 387027004, 3378009, 46950002, 85037008, 58956008, 29666006, 396037001, 48384000]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [762949000, 0], [732946004, 0], [766939001, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 733000006, 66076007, 421701006, 385059007, 385192004, 385084005, 447079001], [421026006, 764780001, 421366001, 385085006, 420692007, 764774009, 385060002, 385173001, 385024007, 385061003], [732774003, 278495003, 278496002, 732515006, 725124009, 420528006, 264707009, 337570006, 264679004, 337566003], [778938000, 779771003, 778810007, 779542002, 780718004, 780319009, 779067007, 780685002, 778314006, 778278001], [385055001, 732936001, 761877007, 733000006, 66076007, 421701006, 385059007, 385192004, 385084005, 447079001], [38112003, 260320001, 784840009, 277733009, 121348009, 784870004, 784871000, 784872007, 377424007, 785208005], [258684004, 408169001, 414718005, 258916009, 258797006, 258685003, 258798001, 396163008, 258834009, 258801007], [26120001, 10424009, 387027004, 3378009, 46950002, 85037008, 58956008, 29666006, 396037001, 48384000], [38112003, 260320001, 784840009, 277733009, 121348009, 784870004, 784871000, 784872007, 377424007, 785208005], [773864007, 773863001, 789691007, 789696002, 773871002, 773883000, 773876007, 773881003, 773875006, 773837006], [26120001, 10424009, 387027004, 3378009, 46950002, 85037008, 58956008, 29666006, 396037001, 48384000]]
fractura de Quervain (trastorno)	46773004	trastorno	0	0	[704013006, 111637008, 66246007, 69427008, 12676007, 446979005, 447017008, 4750004, 23741005, 42760000]	0	1.0	4	1.0	[116676008, 116680003, 42752001, 363698007]	704013006	4	1.0	[116676008, 116680003, 42752001, 363698007]	704013006	[[116676008, 0], [116680003, -1], [42752001, 0], [363698007, -1]]	[[72704001, 13321001, 66680001, 52329006, 397181002, 5978003, 439449007, 123738000, 122471009, 125170009], [18336000, 50531009, 23406007, 46866001, 36991002, 52603002, 150617003, 263156006, 449684003, 127286005], [773760007, 272379006, 263904004, 231954005, 274179004, 201279004, 363226007, 789750003, 307579008, 405619009], [24097009, 51299004, 91397008, 64234005, 304679005, 392081006, 272679001, 118645006, 304907005, 24785000]]	[[116676008, 0], [116680003, -1], [42752001, 0], [363698007, -1]]	[[72704001, 13321001, 66680001, 52329006, 397181002, 5978003, 439449007, 123738000, 122471009, 125170009], [18336000, 50531009, 23406007, 46866001, 36991002, 52603002, 150617003, 263156006, 449684003, 127286005], [773760007, 272379006, 263904004, 231954005, 274179004, 201279004, 363226007, 789750003, 307579008, 405619009], [24097009, 51299004, 91397008, 64234005, 304679005, 392081006, 272679001, 118645006, 304907005, 24785000]]
vena safena externa [como un todo] (estructura corporal)	181404009	estructura corporal	0	0	[181402008, 731339000, 732135003, 730650001, 361642000, 302677006, 714756002, 181373000, 714755003, 730649001]	0	1.0	2	1.0	[116680003, 272741003]	181402008	2	1.0	[116680003, 272741003]	181402008	[[116680003, 0], [272741003, 0]]	[[26805005, 60734001, 422849006, 423152005, 362072009, 210871006, 721080005, 721081009, 79908009, 414369008], [182353008, 709880000, 272424004, 437882009, 24614000, 368588007, 368589004, 368567003, 368833000, 368598001]]	[[116680003, 0], [272741003, 0]]	[[26805005, 60734001, 422849006, 423152005, 362072009, 210871006, 721080005, 721081009, 79908009, 414369008], [182353008, 709880000, 272424004, 437882009, 24614000, 368588007, 368589004, 368567003, 368833000, 368598001]]
hiperplasia congénita de las glándulas sebáceas del labio (trastorno)	27680009	trastorno	0	0	[19845004, 235700007, 65274008, 123637000, 92833001, 253755003, 126884005, 92273004, 123638005, 723001002]	0	1.0	2	0.6667	[116676008, 116680003]	19845004	2	0.6667	[116676008, 116680003]	19845004	[[116676008, -1], [116680003, -1]]	[[10653003, 109549008, 109521001, 55856005, 66042003, 109520000, 737185000, 428543009, 109518003, 128336000], [109521001, 55856005, 403852003, 10653003, 41349008, 109520000, 11102005, 22589009, 111327006, 93068008]]	[[116676008, -1], [116680003, -1]]	[[10653003, 109549008, 109521001, 55856005, 66042003, 109520000, 737185000, 428543009, 109518003, 128336000], [109521001, 55856005, 403852003, 10653003, 41349008, 109520000, 11102005, 22589009, 111327006, 93068008]]
apófisis clinoides media [como un todo] (estructura corporal)	139885000	estructura corporal	0	0	[139986003, 140188009, 730236002, 727164007, 728911009, 731324001, 730054009, 729830000, 730196005, 729200002]	0	1.0	2	1.0	[116680003, 272741003]	139986003	2	1.0	[116680003, 272741003]	139986003	[[116680003, 1], [272741003, 0]]	[[46117001, 82932007, 69148001, 32222005, 778033007, 778034001, 73115006, 415640004, 124002, 76016004], [182353008, 255586005, 32176000, 272424004, 49252004, 1980003, 29350000, 255563003, 285632004, 35305002]]	[[116680003, 1], [272741003, 0]]	[[46117001, 82932007, 69148001, 32222005, 778033007, 778034001, 73115006, 415640004, 124002, 76016004], [182353008, 255586005, 32176000, 272424004, 49252004, 1980003, 29350000, 255563003, 285632004, 35305002]]
termometría con cristales líquidos (procedimiento)	252463007	procedimiento	1	1	[6528000, 75195008, 435741000124103, 167344003, 725021003, 104424009, 264514008, 365688004, 23779000, 462983001]	0	1.0	1	0.5	[116680003]	6528000	2	0.6667	[116680003, 260686004]	75195008	[[116680003, -1]]	[[386617003, 118238000, 309858006, 106079008, 334251007, 309514004, 61578001, 7075003, 386043001, 365839002]]	[[116680003, -1], [260686004, -1]]	[[439081000124109, 228061007, 161843009, 161844003, 711000008, 127801007, 435741000124103, 226213003, 61718005, 435681000124103], [410460000, 129265001, 129449000, 129271007, 360152008, 360273002, 129278001, 277763000, 367558000, 360270004]]
cuerpo extraño en la piel de la palma de la mano (trastorno)	298082009	trastorno	0	0	[298080001, 298081002, 298079004, 298097007, 298064006, 298099005, 283203007, 298100002, 283252006, 298066008]	0	1.0	3	1.0	[116676008, 116680003, 363698007]	298080001	3	1.0	[116676008, 116680003, 363698007]	298080001	[[116676008, -1], [116680003, 4], [363698007, 2]]	[[298080001, 298079004, 211311003, 283162007, 298064006, 298099005, 298081002, 298066008, 298063000, 298097007], [298092001, 298073003, 298081002, 298079004, 298080001, 298100002, 298075005, 298097007, 298099005, 298068009], [33712006, 89784008, 70887009, 24527008, 24785000, 782450001, 782451002, 26795005, 281641000, 281644008]]	[[116676008, -1], [116680003, 4], [363698007, 2]]	[[298080001, 298079004, 211311003, 283162007, 298064006, 298099005, 298081002, 298066008, 298063000, 298097007], [298092001, 298073003, 298081002, 298079004, 298080001, 298100002, 298075005, 298097007, 298099005, 298068009], [33712006, 89784008, 70887009, 24527008, 24785000, 782450001, 782451002, 26795005, 281641000, 281644008]]
producto que contiene exactamente clorhidrato de milnaciprán 25 miligramos por cada comprimido para administración oral de liberación convencional (fármaco de uso clínico)	441568008	fármaco de uso clínico	0	0	[441611004, 375369001, 373949001, 374536006, 321842001, 410916007, 441961005, 703778007, 376658002, 441732000]	0	1.0	10	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	441611004	10	1.0	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	441611004	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 2275002, 733000006, 421595009, 385057009, 66076007, 385059007, 385192004], [421026006, 764780001, 421366001, 385085006, 764774009, 385060002, 385061003, 420692007, 784575004, 385024007], [725124009, 278495003, 67517005, 278494004, 707053000, 732774003, 278496002, 447678008, 102373000, 732706002], [779905000, 780566009, 778950006, 780757007, 779982000, 780633004, 779780003, 778766004, 779032007, 779928004], [385055001, 732936001, 761877007, 2275002, 733000006, 421595009, 385057009, 66076007, 385059007, 385192004], [38112003, 82609006, 258191002, 129480005, 260303000, 256179003, 32100007, 258194005, 14209008, 261768000], [258684004, 408169001, 414718005, 258685003, 258916009, 396163008, 258797006, 258834009, 258798001, 258796002], [38112003, 82609006, 258191002, 129480005, 260303000, 256179003, 32100007, 258194005, 14209008, 261768000], [442642007, 442699004, 108434005, 108436007, 387243002, 395904008, 55124001, 32030002, 787057001, 96211006], [442642007, 442699004, 108434005, 108436007, 387243002, 395904008, 55124001, 32030002, 787057001, 96211006]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 761877007, 2275002, 733000006, 421595009, 385057009, 66076007, 385059007, 385192004], [421026006, 764780001, 421366001, 385085006, 764774009, 385060002, 385061003, 420692007, 784575004, 385024007], [725124009, 278495003, 67517005, 278494004, 707053000, 732774003, 278496002, 447678008, 102373000, 732706002], [779905000, 780566009, 778950006, 780757007, 779982000, 780633004, 779780003, 778766004, 779032007, 779928004], [385055001, 732936001, 761877007, 2275002, 733000006, 421595009, 385057009, 66076007, 385059007, 385192004], [38112003, 82609006, 258191002, 129480005, 260303000, 256179003, 32100007, 258194005, 14209008, 261768000], [258684004, 408169001, 414718005, 258685003, 258916009, 396163008, 258797006, 258834009, 258798001, 258796002], [38112003, 82609006, 258191002, 129480005, 260303000, 256179003, 32100007, 258194005, 14209008, 261768000], [442642007, 442699004, 108434005, 108436007, 387243002, 395904008, 55124001, 32030002, 787057001, 96211006], [442642007, 442699004, 108434005, 108436007, 387243002, 395904008, 55124001, 32030002, 787057001, 96211006]]
endocarditis de prótesis de válvula tricúspide (trastorno)	703190002	trastorno	0	0	[703179007, 703189006, 703201004, 703287002, 736893007, 703191003, 17107009, 703292000, 703157002, 703200003]	0	1.0	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	4	0.8	[116676008, 116680003, 255234002, 363698007]	703179007	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 1]]	[[409774005, 409776007, 409775006, 72724002, 723198002, 409777003, 127582006, 708530007, 281371002, 38493002], [473086001, 473090004, 473060006, 473036007, 473095009, 473101005, 473048005, 473088000, 473049002, 473025000], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 733689006, 174937005, 233059007, 275035006], [708080005, 711576007, 711570001, 711579000, 711578008, 711571002, 711577003, 46030003, 711572009, 711573004]]	[[116676008, 0], [116680003, 0], [255234002, 1], [363698007, 1]]	[[409774005, 409776007, 409775006, 72724002, 723198002, 409777003, 127582006, 708530007, 281371002, 38493002], [473086001, 473090004, 473060006, 473036007, 473095009, 473101005, 473048005, 473088000, 473049002, 473025000], [77181006, 8069005, 79917009, 35350000, 47432005, 39883008, 733689006, 174937005, 233059007, 275035006], [708080005, 711576007, 711570001, 711579000, 711578008, 711571002, 711577003, 46030003, 711572009, 711573004]]
puente de estómago por anastomosis de esófago a duodeno (procedimiento)	173740007	procedimiento	0	0	[265365007, 173748000, 305621000, 173858006, 173857001, 173586007, 235282003, 265381002, 303566003, 304060006]	0	1.0	3	1.0	[116680003, 260686004, 405813007]	265365007	3	1.0	[116680003, 260686004, 405813007]	265365007	[[116680003, 0], [260686004, 0], [405813007, 0]]	[[90021002, 358575006, 413232004, 304060006, 173586007, 173560002, 310873008, 310871005, 30582003, 10107006], [360021005, 129407005, 257741005, 360027009, 360324009, 257746000, 257885003, 129297001, 129376004, 360087006], [38848004, 77763002, 32849002, 9566001, 413196009, 714325007, 78540008, 871756001, 90895003, 12515005]]	[[116680003, 0], [260686004, 0], [405813007, 0]]	[[90021002, 358575006, 413232004, 304060006, 173586007, 173560002, 310873008, 310871005, 30582003, 10107006], [360021005, 129407005, 257741005, 360027009, 360324009, 257746000, 257885003, 129297001, 129376004, 360087006], [38848004, 77763002, 32849002, 9566001, 413196009, 714325007, 78540008, 871756001, 90895003, 12515005]]
