Concepto	ID	Semantic tag	Top	Top Rel	Similares	Palabras no contenida	% palabras contenidas	Relaciones igual 1	% igual 1	Nombres igual 1	ID 1	Relaciones igual match	% igual match	Nombres igual match	ID match	Analogias 1	Analogias 1 Lista	Analogias Sem	Analogias Sem Lista
incapaz de usar palangana (hallazgo)	284914006	hallazgo	0	0	[285869003, 284913000, 284921006, 285868006, 289984003, 289980007, 284920007, 285862007, 285875007, 289979009]	0	1.0	3	1.0	[363713009, 116680003, 363714003]	285869003	3	1.0	[363713009, 116680003, 363714003]	285869003	[[363713009, 0], [116680003, -1], [363714003, -1]]	[[371151008, 371150009, 715039008, 286658006, 282926000, 282976003, 282920006, 284992009, 715006005, 714994009], [365269002, 365268005, 365274005, 365367003, 365209004, 365122002, 365216003, 364979001, 365271002, 365280002], [285867001, 285860004, 285898004, 288474001, 288615004, 304659002, 289059003, 288473007, 304653001, 285885008]]	[[363713009, 0], [116680003, -1], [363714003, -1]]	[[371151008, 371150009, 715039008, 286658006, 282926000, 282976003, 282920006, 284992009, 715006005, 714994009], [365269002, 365268005, 365274005, 365367003, 365209004, 365122002, 365216003, 364979001, 365271002, 365280002], [285867001, 285860004, 285898004, 288474001, 288615004, 304659002, 289059003, 288473007, 304653001, 285885008]]
componente C4 del complemento (sustancia)	300899005	sustancia	0	0	[62699008, 29776002, 20057002, 10473000, 52313003, 923009, 44728009, 27273002, 84720003, 79973001]	0	1.0	2	1.0	[116680003, 726542003]	62699008	2	1.0	[116680003, 726542003]	62699008	[[116680003, -1], [726542003, 0]]	[[259784004, 27960005, 86091003, 234624002, 116183000, 250330007, 234593008, 737098007, 15615005, 70818006], [734544007, 108940007, 373305006, 406760002, 372612001, 417695006, 422745008, 714010003, 75777003, 407314008]]	[[116680003, -1], [726542003, 0]]	[[259784004, 27960005, 86091003, 234624002, 116183000, 250330007, 234593008, 737098007, 15615005, 70818006], [734544007, 108940007, 373305006, 406760002, 372612001, 417695006, 422745008, 714010003, 75777003, 407314008]]
producto que contiene exactamente mesalazina 500 miligramos por cada comprimido de liberación prolongada para administración oral (fármaco de uso clínico)	765648000	fármaco de uso clínico	0	0	[765726003, 439147003, 765507008, 317431008, 374938003, 324797001, 371386000, 376655004, 329613005, 374369007]	0	1.0	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	765726003	10	0.9091	[732947008, 411116001, 732944001, 116680003, 763032000, 766952006, 732945000, 732946004, 762949000, 732943007]	765726003	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 437759001, 66076007, 370164001, 426061004, 447210004, 370169006], [385060002, 421155001, 764774009, 421620004, 421026006, 385053008, 422353003, 765062008, 764780001, 766233005], [732775002, 441252003, 441254002, 441251005, 433216006, 331384006, 334272005, 317402009, 732862009, 377537007], [779815007, 780541005, 778453003, 779225009, 780018006, 779002004, 778925008, 780458003, 789139006, 786218005], [385055001, 732936001, 421595009, 761877007, 437759001, 66076007, 370164001, 426061004, 447210004, 370169006], [38112003, 261768000, 262052000, 262049008, 264614004, 708708008, 697941000, 697940004, 264615003, 277752003], [258684004, 408169001, 418670008, 414718005, 258797006, 396163008, 258798001, 258796002, 258834009, 258835005], [38112003, 261768000, 262052000, 262049008, 264614004, 708708008, 697941000, 697940004, 264615003, 277752003], [387501005, 387248006, 391819000, 428698007, 387116004, 407148001, 419985007, 56436005, 703350008, 387014003], [387501005, 387248006, 391819000, 428698007, 387116004, 407148001, 419985007, 56436005, 703350008, 387014003]]	[[732947008, 1], [411116001, 0], [732944001, 0], [116680003, 0], [763032000, 1], [766952006, 0], [732945000, 0], [732946004, 0], [762949000, 0], [732943007, 0]]	[[385055001, 732936001, 421595009, 761877007, 437759001, 66076007, 370164001, 426061004, 447210004, 370169006], [385060002, 421155001, 764774009, 421620004, 421026006, 385053008, 422353003, 765062008, 764780001, 766233005], [732775002, 441252003, 441254002, 441251005, 433216006, 331384006, 334272005, 317402009, 732862009, 377537007], [779815007, 780541005, 778453003, 779225009, 780018006, 779002004, 778925008, 780458003, 789139006, 786218005], [385055001, 732936001, 421595009, 761877007, 437759001, 66076007, 370164001, 426061004, 447210004, 370169006], [38112003, 261768000, 262052000, 262049008, 264614004, 708708008, 697941000, 697940004, 264615003, 277752003], [258684004, 408169001, 418670008, 414718005, 258797006, 396163008, 258798001, 258796002, 258834009, 258835005], [38112003, 261768000, 262052000, 262049008, 264614004, 708708008, 697941000, 697940004, 264615003, 277752003], [387501005, 387248006, 391819000, 428698007, 387116004, 407148001, 419985007, 56436005, 703350008, 387014003], [387501005, 387248006, 391819000, 428698007, 387116004, 407148001, 419985007, 56436005, 703350008, 387014003]]
soplo orbitario (hallazgo)	111977003	hallazgo	0	0	[71201008, 68494000, 9559002, 23795000, 89985004, 65254001, 422325003, 414069003, 79758006, 30782001]	0	1.0	3	0.75	[418775008, 116680003, 363698007]	71201008	3	0.75	[418775008, 116680003, 363698007]	71201008	[[418775008, -1], [116680003, -1], [363698007, -1]]	[[263826004, 80096003, 255001009, 280547001, 95772002, 414520005, 303515008, 287412008, 287414009, 262022008], [31574009, 30782001, 9559002, 68494000, 71201008, 65254001, 414069003, 59495006, 89884001, 23795000], [277712000, 118506009, 25388009, 194996006, 57008001, 78776006, 263168002, 85637007, 113252001, 4061004]]	[[418775008, -1], [116680003, -1], [363698007, -1]]	[[263826004, 80096003, 255001009, 280547001, 95772002, 414520005, 303515008, 287412008, 287414009, 262022008], [31574009, 30782001, 9559002, 68494000, 71201008, 65254001, 414069003, 59495006, 89884001, 23795000], [277712000, 118506009, 25388009, 194996006, 57008001, 78776006, 263168002, 85637007, 113252001, 4061004]]
producto que contiene minociclina en forma farmacéutica para administración parenteral como único ingrediente (forma farmacéutica de producto medicinal)	779911002	forma farmacéutica de producto medicinal	0	0	[779273004, 786246007, 780193003, 779968000, 780304008, 780121005, 780221001, 779617001, 773248007, 779984004]	0	1.0	5	1.0	[411116001, 766939001, 116680003, 766952006, 127489000]	779273004	5	1.0	[411116001, 766939001, 116680003, 766952006, 127489000]	779273004	[[411116001, 0], [766939001, 4], [116680003, 0], [766952006, 0], [127489000, 0]]	[[385287007, 440132002, 772805002, 761845009, 840399007, 428646005, 740575007, 425427001, 764320000, 764194006], [788020005, 788026004, 788025000, 787992007, 787994008, 773898003, 773881003, 788077006, 773874005, 773887004], [425427001, 440284000, 785541007, 430217001, 772637003, 386570002, 387766000, 772691000, 430199005, 350597007], [38112003, 261768000, 262052000, 262049008, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [372653009, 372478003, 387474003, 71417000, 387155003, 387180003, 372741002, 395783008, 373475006, 372594008]]	[[411116001, 0], [766939001, 4], [116680003, 0], [766952006, 0], [127489000, 0]]	[[385287007, 440132002, 772805002, 761845009, 840399007, 428646005, 740575007, 425427001, 764320000, 764194006], [788020005, 788026004, 788025000, 787992007, 787994008, 773898003, 773881003, 788077006, 773874005, 773887004], [425427001, 440284000, 785541007, 430217001, 772637003, 386570002, 387766000, 772691000, 430199005, 350597007], [38112003, 261768000, 262052000, 262049008, 708708008, 697941000, 697940004, 264614004, 82609006, 96002002], [372653009, 372478003, 387474003, 71417000, 387155003, 387180003, 372741002, 395783008, 373475006, 372594008]]
monobenzoato de resorcinol (sustancia)	256103001	sustancia	0	1	[78032005, 27079005, 422294009, 423452001, 419757004, 735137000, 470350008, 724034007, 772402006, 434295000]	1	0.6667000000000001	1	1.0	[116680003]	78032005	2	0.6667	[116680003, 738774007]	27079005	[[116680003, 0]]	[[302221001, 255853000, 273963008, 255767004, 256164005, 288847006, 256209008, 255878001, 288841007, 255873005]]	[[116680003, -1], [738774007, 0]]	[[373206009, 372649007, 414355008, 372722000, 372480009, 14443002, 372788003, 373270004, 406440006, 373236000], [78032005, 398713003, 387054001, 422343004, 772929008, 395933009, 412100000, 414275002, 87205003, 387204001]]
polo uterino del ovario [como un todo] (estructura corporal)	279913006	estructura corporal	0	0	[279912001, 258222009, 258665002, 258409003, 259073003, 279909004, 181453009, 258491008, 729049002, 258308007]	0	1.0	2	1.0	[116680003, 272741003]	279912001	2	1.0	[116680003, 272741003]	279912001	[[116680003, 0], [272741003, -1]]	[[84569004, 74240004, 71252005, 57117003, 7435002, 19931006, 7755000, 37397003, 74676009, 53935009], [254881001, 289783000, 289785007, 289787004, 279881002, 248919007, 289774005, 289765008, 176786003, 47574003]]	[[116680003, 0], [272741003, -1]]	[[84569004, 74240004, 71252005, 57117003, 7435002, 19931006, 7755000, 37397003, 74676009, 53935009], [254881001, 289783000, 289785007, 289787004, 279881002, 248919007, 289774005, 289765008, 176786003, 47574003]]
anestesia para procedimiento cerrado en húmero y codo (procedimiento)	1861004	procedimiento	0	0	[57179005, 75154005, 63675002, 30796007, 79038001, 69749003, 34728006, 45146004, 16342009, 35881002]	0	1.0	4	1.0	[116680003, 260686004, 363701004, 363702006]	57179005	4	1.0	[116680003, 260686004, 363701004, 363702006]	57179005	[[116680003, -1], [260686004, 0], [363701004, 0], [363702006, -1]]	[[75154005, 65031003, 78382006, 86921005, 79038001, 232604000, 69749003, 16342009, 45146004, 238347002], [129445006, 129442009, 257878002, 288468001, 257791009, 257935006, 360324009, 256644001, 360038009, 129423005], [373266007, 25228008, 373520001, 42360002, 28069006, 257228005, 373288007, 373477003, 413535001, 373504006], [118704009, 118706006, 119638001, 118712001, 16342009, 71936001, 118695007, 79038001, 283246005, 118716003]]	[[116680003, -1], [260686004, 0], [363701004, 0], [363702006, -1]]	[[75154005, 65031003, 78382006, 86921005, 79038001, 232604000, 69749003, 16342009, 45146004, 238347002], [129445006, 129442009, 257878002, 288468001, 257791009, 257935006, 360324009, 256644001, 360038009, 129423005], [373266007, 25228008, 373520001, 42360002, 28069006, 257228005, 373288007, 373477003, 413535001, 373504006], [118704009, 118706006, 119638001, 118712001, 16342009, 71936001, 118695007, 79038001, 283246005, 118716003]]
epinefrina (sustancia)	387362001	sustancia	0	2	[126133006, 468846009, 126134000, 50685004, 96254001, 131033001, 64722001, 313191000, 111564004, 346385006]	0	1.0	1	1.0	[116680003]	126133006	2	1.0	[116680003, 726542003]	126134000	[[116680003, -1]]	[[311927004, 255683006, 108817007, 419117008, 158764006, 87010005, 78257008, 78276005, 372884008, 59303007]]	[[116680003, -1], [726542003, 0]]	[[227637003, 114141007, 14561000146100, 419466004, 114140008, 417919003, 14551000146103, 114151008, 782431001, 450373001], [734672009, 21568003, 734671002, 38254008, 79580006, 734668005, 127023007, 129637007, 782889000, 782890009]]
venas bronquiales izquierdas (estructura corporal)	361640008	estructura corporal	0	0	[361641007, 360700004, 161992004, 248498007, 248743003, 267042006, 360694005, 360695006, 277731006, 247119006]	0	1.0	2	1.0	[116680003, 272741003]	361641007	2	1.0	[116680003, 272741003]	361641007	[[116680003, 0], [272741003, 1]]	[[20976003, 159530000, 46704009, 84680009, 90895003, 56341001, 64468002, 27284009, 313762007, 152814000], [24028007, 7771000, 51440002, 15989551000119101, 15989591000119106, 348231000119104, 334851000119100, 332241000119106, 334691000119106, 16001231000119100]]	[[116680003, 0], [272741003, 1]]	[[20976003, 159530000, 46704009, 84680009, 90895003, 56341001, 64468002, 27284009, 313762007, 152814000], [24028007, 7771000, 51440002, 15989551000119101, 15989591000119106, 348231000119104, 334851000119100, 332241000119106, 334691000119106, 16001231000119100]]
